PG.ProteinGroups,PG.Genes,EV_NT rep_#1,EV_NT rep_#2,EV_NT rep_#3,EV_DMOG_rep_#1,EV_DMOG_rep_#2,EV_DMOG_rep_#3,WTJ6_NT_rep_#1,WTJ6_NT_rep_#2,WTJ6_NT_rep_#3,WTJ6_DMOG_rep_#1,WTJ6_DMOG_rep_#2,WTJ6_DMOG_rep_#3,EDJ6_NT_rep_#1,EDJ6_NT_rep_#2,EDJ6_NT_rep_#3,EDJ6_DMOG_rep_#1,EDJ6_DMOG_rep_#2,EDJ6_DMOG_rep_#3
Q14331,FRG1,27838.24219,42274.19531,50620.03516,61764.71094,97194.99219,79228.90625,46448.23438,60410.90625,75559.28125,92656.92188,89575.35938,100215.2656,77158.375,54272.875,66734.78125,97640.92188,110551.9844,109130.9844
Q14444,CAPRIN1,7229.363281,8320.597656,3592.317627,6822.482422,3965.384766,3167.407227,2736.493896,3942.722168,1915.484253,4451.040527,6117.237793,1921.185181,2318.374512,10429.81836,6003.294434,1545.45166,7335.95459,1881.083984
Q14498,RBM39,4017.265625,2492.098145,2483.271729,2225.83667,1300.583862,1299.755127,6523.715332,14736.96191,15463.73047,51729.08594,97936.61719,53815.08203,42067.23047,47040.53906,49722.40625,29924.1582,48687.08203,37517.70313
Q14558,PRPSAP1,8086.513672,16055.56445,27209.05078,11596.3584,14481.05566,12554.50781,3293.134277,5623.459473,4443.921875,2086.602051,2385.855957,2629.515381,3214.163574,2578.064209,4993.287109,1247.332764,1854.951904,2734.17334
Q14563,SEMA3A,3173.981201,29349.4668,32716.30664,29053.64648,18639.63672,29146.26563,2085.088623,30113.53906,24627.13867,32474.82031,12460.25977,20548.21484,2637.200195,21177.69531,23712.20703,2051.437988,2126.593262,8789.780273
Q14566,MCM6,5791.180664,24995.66602,21471.40039,17385.2793,12877.59082,9941.967773,4887.396484,33289.26953,29615.62305,10902.50293,24758.09766,15143.7666,18948.21094,37617.43359,11402.0957,4128.545898,24178.68164,11205.48633
Q14681,KCTD2,308808.0625,286761.5625,293904.2813,135721.6563,165414.7969,169340.6406,191545.1875,200092.7188,169927.4688,74865.91406,91773.03125,57915.74219,88052.5,212749.7188,68436.28125,62004.27344,179894.0625,76893.22656
Q14692,BMS1,4367.39209,19628.60547,3252.510986,1143.781006,650.3424072,863.2224731,3729.830566,11295.71387,2105.019531,1037.661133,651.2601318,693.0450439,3241.922852,28251.38086,5280.527344,1247.147339,1292.426758,1552.409912
Q14697,GANAB,4974.880371,10209.5752,1566.070801,11633.10547,1835.632568,1895.204102,3499.021484,14873.83594,2922.069336,2297.391846,10255.45801,18977.00391,1966.401611,2959.593018,3911.682861,6894.175781,20675.92188,3269.09668
Q14978,NOLC1,5484.944336,2110.447266,2543.228027,1277.69104,700.2478638,740.3138428,4222.519531,1653.776978,2094.204834,1170.287354,748.1692505,10704.77637,7920.539551,5185.711914,5245.958008,25632.48633,17887.89063,1363.977051
Q15019,SEPTIN2,3366.199707,14041.06348,11489.68848,11812.15723,9600.931641,12046.72461,2558.8396,10207.60059,9426.071289,14505.43848,12967.28613,12439.2373,10101.3125,16542.7832,7146.175781,2222.475586,18393.10547,15765.57617
Q15029,EFTUD2,17894.52734,8973.923828,10794.97852,10574.69336,11207.2959,10076.28906,3958.502197,8154.865723,8322.146484,3732.731445,5995.181641,4862.22998,6313.172852,7261.412598,5865.452148,2364.042969,2392.168213,5435.386719
Q15046,KARS,3993.550293,1922.578979,1626.244873,945.2530518,2461.505859,5672.092773,3877.255859,4297.811523,2724.331787,544.9828491,3295.567139,2693.305176,5117.20459,5366.835938,3466.731445,3213.488525,4923.59082,3850.395752
